Activity ID,Section,Activity Type,Start Date,End Date,Fixed Scheduling Date,Estimated Duration,Maintenance Type,Importance Level
1,1,3,1,3,0,50,1,3
2,1,11,1,1,1,30,3,3
3,1,6,1,3,2,40,3,1
4,1,17,1,2,2,50,2,2
5,1,5,2,3,2,40,2,2
6,1,12,1,3,3,40,3,1
7,1,12,1,3,3,40,3,1
8,1,15,2,2,2,30,2,3
9,1,17,2,3,3,50,2,2
10,1,13,1,1,1,30,3,3
11,1,1,1,3,2,20,3,1
12,1,11,3,3,3,30,2,3
13,1,12,1,1,1,40,3,3
14,1,5,1,2,1,40,3,2
15,1,10,1,3,3,15,3,1
16,1,5,1,3,2,40,3,1
17,1,14,1,3,3,20,3,1
18,1,14,1,3,2,20,3,1
19,1,11,1,3,2,30,3,1
20,1,16,1,3,3,30,3,1
21,1,9,1,2,2,20,3,2
22,1,2,1,3,3,15,3,1
23,1,14,2,2,2,20,2,3
24,1,10,2,3,2,15,2,2
25,1,16,1,2,2,30,3,2
26,1,1,1,3,2,20,3,1
27,1,13,1,2,2,30,3,2
28,1,17,1,2,1,50,2,2
29,1,15,3,3,3,30,2,3
30,1,7,1,2,1,30,3,2
31,1,10,1,2,2,15,3,2
32,1,15,2,2,2,30,2,3
33,1,9,1,2,1,20,3,2
34,1,6,1,3,2,40,3,1
35,1,1,2,2,2,20,2,3
36,1,2,2,3,3,15,2,2
37,1,6,1,3,3,40,3,1
38,1,13,1,3,2,30,3,1
39,1,16,1,3,2,30,3,1
40,1,2,2,3,2,15,2,2
41,2,17,2,3,2,50,2,2
42,2,2,1,1,1,15,3,3
43,2,9,2,2,2,20,2,3
44,2,16,2,3,3,30,2,2
45,2,11,1,2,2,30,3,2
46,2,17,2,3,3,50,2,2
47,2,15,1,2,1,30,3,2
48,2,2,2,3,3,15,2,2
49,2,10,3,3,3,15,2,3
50,2,13,1,3,1,30,3,1
51,2,10,1,2,2,15,3,2
52,2,14,1,3,1,20,3,1
53,2,10,2,3,2,15,2,2
54,2,2,2,3,3,15,2,2
55,2,5,1,3,2,40,3,1
56,2,12,2,3,2,40,2,2
57,2,1,1,3,2,20,3,1
58,2,14,1,3,2,20,3,1
59,2,1,1,1,1,20,3,3
60,2,9,2,3,3,20,2,2
61,2,11,1,3,3,30,3,1
62,2,11,3,3,3,30,2,3
63,2,12,1,1,1,40,3,3
64,2,17,1,3,3,50,3,1
65,2,12,2,3,3,40,2,2
66,2,1,1,3,3,20,3,1
67,2,16,1,3,3,30,3,1
68,2,16,1,3,2,30,3,1
69,2,15,1,3,1,30,3,1
70,2,13,1,3,3,30,3,1
71,2,7,1,2,1,30,2,2
72,2,14,1,2,1,20,3,2
73,2,6,1,3,3,40,3,1
74,2,6,1,3,1,40,3,1
75,2,13,2,3,2,30,2,2
76,2,6,1,3,3,40,3,1
77,2,15,2,3,3,30,2,2
78,2,9,1,3,3,20,3,1
79,2,5,1,3,2,40,3,1
80,2,7,1,3,3,30,3,1
81,3,4,1,3,0,60,1,3
82,3,15,1,3,1,30,3,1
83,3,17,3,3,3,50,2,3
84,3,17,1,3,3,50,2,1
85,3,11,2,3,2,30,2,2
86,3,2,1,3,3,15,2,1
87,3,16,1,3,2,30,3,1
88,3,13,1,2,1,30,3,2
89,3,11,1,3,3,30,2,1
90,3,17,1,3,1,50,2,1
91,3,10,1,3,3,15,2,1
92,3,12,1,3,3,40,2,1
93,3,2,1,1,1,15,2,3
94,3,1,1,3,2,20,3,1
95,3,14,2,3,3,20,2,2
96,3,15,1,3,1,30,3,1
97,3,12,3,3,3,40,2,3
98,3,11,1,3,1,30,3,1
99,3,15,1,3,3,30,3,1
100,3,6,3,3,3,40,2,3
101,3,9,1,3,2,20,3,1
102,3,16,1,2,1,30,3,2
103,3,6,3,3,3,40,2,3
104,3,1,1,3,1,20,3,1
105,3,5,1,3,1,40,3,1
106,3,5,1,3,2,40,3,1
107,3,10,1,3,3,15,3,1
108,3,2,2,3,3,15,2,2
109,3,13,1,3,2,30,3,1
110,3,1,1,3,2,20,3,1
111,3,16,1,3,1,30,3,1
112,3,7,3,3,3,30,2,3
113,3,12,2,3,3,40,2,2
114,3,10,3,3,3,15,2,3
115,3,14,2,3,3,20,2,2
116,3,14,1,3,2,20,3,1
117,3,9,1,1,1,20,2,3
118,3,7,2,2,2,30,2,3
119,3,9,1,3,3,20,3,1
120,3,7,1,3,2,30,3,1
121,4,12,1,3,1,40,3,1
122,4,1,1,3,3,20,3,1
123,4,16,1,3,3,30,3,1
124,4,17,1,3,1,50,3,1
125,4,2,1,1,1,15,3,3
126,4,17,2,2,2,50,2,3
127,4,1,1,3,1,20,3,1
128,4,7,1,2,1,30,2,2
129,4,1,1,3,1,20,3,1
130,4,13,2,2,2,30,2,3
131,4,9,1,3,2,20,2,1
132,4,15,1,2,1,30,3,2
133,4,6,2,3,3,40,2,2
134,4,6,1,2,1,40,3,2
135,4,2,1,3,3,15,3,1
136,4,2,1,3,3,15,3,1
137,4,7,2,2,2,30,2,3
138,4,13,1,3,1,30,3,1
139,4,15,2,3,3,30,2,2
140,4,17,1,1,1,50,3,3
141,4,11,2,3,2,30,2,2
142,4,12,1,3,3,40,3,1
143,4,14,1,3,3,20,3,1
144,4,11,3,3,3,30,2,3
145,4,11,1,1,1,30,3,3
146,4,12,2,3,3,40,2,2
147,4,16,1,1,1,30,3,3
148,4,10,1,2,2,15,3,2
149,4,7,1,3,3,30,2,1
150,4,15,1,3,3,30,3,1
151,4,13,2,3,3,30,2,2
152,4,10,1,3,2,15,2,1
153,4,14,1,2,2,20,3,2
154,4,16,3,3,3,30,2,3
155,4,14,1,3,3,20,3,1
156,4,10,1,3,3,15,3,1
157,4,9,2,3,3,20,2,2
158,4,5,1,3,1,40,2,1
159,4,9,1,3,1,20,3,1
160,4,5,1,3,2,40,3,1
161,5,12,1,1,1,40,3,3
162,5,12,1,3,3,40,3,1
163,5,13,1,3,3,30,3,1
164,5,17,1,2,2,50,2,2
165,5,16,1,3,3,30,3,1
166,5,14,1,2,2,20,3,2
167,5,6,1,3,1,40,3,1
168,5,15,1,3,1,30,3,1
169,5,14,2,3,3,20,2,2
170,5,7,1,3,2,30,3,1
171,5,15,1,3,3,30,3,1
172,5,11,1,3,2,30,3,1
173,5,13,1,2,1,30,3,2
174,5,11,2,3,3,30,2,2
175,5,7,1,2,1,30,3,2
176,5,14,1,3,3,20,3,1
177,5,16,3,3,3,30,2,3
178,5,10,1,1,1,15,2,3
179,5,5,1,3,3,40,3,1
180,5,9,1,3,2,20,3,1
181,5,16,1,2,1,30,3,2
182,5,1,2,2,2,20,2,3
183,5,13,1,3,3,30,3,1
184,5,12,1,3,1,40,3,1
185,5,11,1,3,2,30,3,1
186,5,15,1,1,1,30,3,3
187,5,6,2,3,3,40,2,2
188,5,9,2,3,3,20,2,2
189,5,2,1,3,2,15,2,1
190,5,9,1,3,1,20,3,1
191,5,17,1,2,1,50,3,2
192,5,1,1,2,2,20,2,2
193,5,2,2,3,3,15,2,2
194,5,5,2,3,2,40,2,2
195,5,17,1,3,2,50,3,1
196,5,5,1,3,3,40,3,1
197,5,7,1,3,2,30,3,1
198,5,6,1,2,2,40,3,2
199,5,2,2,3,3,15,2,2
200,5,10,1,3,1,15,3,1
201,6,8,1,3,0,50,1,3
202,6,5,1,3,2,40,3,1
203,6,12,1,3,3,40,3,1
204,6,7,1,3,1,30,3,1
205,6,13,1,3,2,30,3,1
206,6,1,1,3,1,20,3,1
207,6,11,2,3,3,30,2,2
208,6,17,1,3,1,50,3,1
209,6,13,1,3,1,30,3,1
210,6,16,3,3,3,30,2,3
211,6,1,1,3,2,20,3,1
212,6,14,1,3,2,20,3,1
213,6,16,1,3,1,30,3,1
214,6,9,2,3,3,20,2,2
215,6,11,3,3,3,30,2,3
216,6,10,1,1,1,15,2,3
217,6,9,1,1,1,20,3,3
218,6,16,1,3,3,30,3,1
219,6,2,1,3,2,15,2,1
220,6,5,3,3,3,40,2,3
221,6,1,2,3,3,20,2,2
222,6,7,1,3,1,30,3,1
223,6,11,1,1,1,30,3,3
224,6,7,1,3,3,30,3,1
225,6,6,2,3,3,40,2,2
226,6,17,1,3,2,50,2,1
227,6,14,1,3,3,20,3,1
228,6,6,1,3,3,40,3,1
229,6,17,1,3,2,50,3,1
230,6,10,1,3,1,15,3,1
231,6,12,1,2,2,40,3,2
232,6,12,1,1,1,40,3,3
233,6,9,1,3,2,20,3,1
234,6,14,2,2,2,20,2,3
235,6,13,1,3,2,30,3,1
236,6,5,1,3,3,40,3,1
237,6,2,1,2,2,15,2,2
238,6,2,1,3,2,15,3,1
239,6,15,1,2,2,30,2,2
240,6,15,1,2,2,30,3,2
